Class,Precision,Recall,F1Score,Accuracy
short serve,1,0.939393939393939,0.96875,0.939393939393939
long serve,0.805555555555556,1,0.892307692307692,1
fclear,0.522727272727273,0.442307692307692,0.479166666666667,0.442307692307692
bclear,0.5,0.58,0.537037037037037,0.58
fc smash,0.486486486486487,0.692307692307692,0.571428571428571,0.692307692307692
bc smash,0.25,0.357142857142857,0.294117647058823,0.357142857142857
fh flick,0.555555555555556,0.46875,0.508474576271186,0.46875
bh flick,0.916666666666667,0.379310344827586,0.536585365853658,0.379310344827586
